Unit,Radio no. (Config Tool),Configuration,Match,Qty,Site Type Radio is deployed to,Site Type Radio Abbr,Duplicates, GSM Q-code,LEN 2G, UMTS Q-code,LEN 3G, LTE Q-code,LEN 4G,5G Q-code,LEN 5G,QcodePower,LEN Qcode Power,QcodePattern,IdlePCunit,IdleOPunit,IdleHDunit,TypPCunit,TypOPunit,TypHDunit,HighPCunit,HighOPunit,HighHDunit,MaxPCunit,MaxOPunit,MaxHDunit,Origi0l Order v8,IdlePCtotal,IdleOPtotal,IdleHDtotal,TypPCtotal,TypOPtotal,TypHDtotal,HighPCtotal,HighOPtotal,HighHDtotal,MaxPCtotal,MaxOPtotal,MaxHDtotal
Radio 2217 B28B,Radio 32a,NR700 / 4 LTE branch SM,0,0,"MORAN, B1B3, B2B3",M,2,.................................................,49,.................................................,49,.................................................,49,56E7b.*,7,...................................................................................................................................................56E7b.*,154,...................................................................................................................................................56E7b.*M$,147,4,143,178,16,162,274,64,210,318,80,238,64,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B28B,Radio 33,NR700 / 2 LTE branch SM,0,0,UNWIND(TEF only),T,1,.................................................,49,.................................................,49,.................................................,49,56E7a.*,7,...................................................................................................................................................56E7a.*,154,...................................................................................................................................................56E7a.*T$,141,2,139,159,8,151,208,32,176,228,40,188,65,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B28B,Radio 33a,NR700 / 2 LTE branch SM,0,0,UNWIND(TEF only),T,2,.................................................,49,.................................................,49,.................................................,49,56E7b.*,7,...................................................................................................................................................56E7b.*,154,...................................................................................................................................................56E7b.*T$,141,2,139,159,8,151,208,32,176,228,40,188,66,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31a,(NR700 / 2 LTE branch (L700)) + 2TRX,0,0,UNWIND(TEF only) NR,T,17,G6E......N.6.....................................,49,.................................................,49,.................................................,49,56E7c.*,7,G6E......N.6.......................................................................................................................................56E7c.*,154,G6E......N.6.......................................................................................................................................56E7c.*T$,270,4,266,310,16,294,431,64,367,487,80,407,13,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31b,(NR700 / 2 LTE branch (L700)) + 2TRX,0,0,UNWIND(TEF only) NR,T,18,G6E......N.6.....................................,49,.................................................,49,.................................................,49,56E7d.*,7,G6E......N.6.......................................................................................................................................56E7d.*,154,G6E......N.6.......................................................................................................................................56E7d.*T$,270,4,266,310,16,294,431,64,367,487,80,407,14,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31e,(NR700 / 2 LTE branch (L700)) + 4TRX,0,0,"MORAN, B1B3, B2B3 NR",M,17,G6E......N.6.....................................,49,.................................................,49,.................................................,49,56E7c.*,7,G6E......N.6.......................................................................................................................................56E7c.*,154,G6E......N.6.......................................................................................................................................56E7c.*M$,303,13,291,350,30,320,476,85,391,673,160,513,17,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31f,(NR700 / 2 LTE branch (L700)) + 4TRX,0,0,"MORAN, B1B3, B2B3 NR",M,18,G6E......N.6.....................................,49,.................................................,49,.................................................,49,56E7d.*,7,G6E......N.6.......................................................................................................................................56E7d.*,154,G6E......N.6.......................................................................................................................................56E7d.*M$,303,13,291,350,30,320,476,85,391,673,160,513,18,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31c,(NR700 / 2 LTE branch (L700)) + 2cc U9 MM + 2 TRX,0,0,"MORAN, B1B3, B2B3",M,7,G6E......S.6.....................................,49,............36E........G.........................,49,.................................................,49,56E7c.*,7,G6E......S.6.................................................36E........G..........................................................................56E7c.*,154,G6E......S.6.................................................36E........G..........................................................................56E7c.*M$,270,4,266,310,16,294,431,64,367,487,80,407,15,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31d,(NR700 / 2 LTE branch (L700)) + 2cc U9 MM + 2 TRX,0,0,"MORAN, B1B3, B2B3",M,8,G6E......S.6.....................................,49,............36E........G.........................,49,.................................................,49,56E7d.*,7,G6E......S.6.................................................36E........G..........................................................................56E7d.*,154,G6E......S.6.................................................36E........G..........................................................................56E7d.*M$,270,4,266,310,16,294,431,64,367,487,80,407,16,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31g,(NR700 / 2 LTE branch (L700)) + 2cc U9 MM + 2 TRX,0,0,UNWIND(TEF only),T,7,G6E......S.6.....................................,49,............36E........G.........................,49,.................................................,49,56E7c.*,7,G6E......S.6.................................................36E........G..........................................................................56E7c.*,154,G6E......S.6.................................................36E........G..........................................................................56E7c.*T$,303,13,291,350,30,320,476,85,391,673,160,513,19,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2238 B8 B20 B28B,Radio 31h,(NR700 / 2 LTE branch (L700)) + 2cc U9 MM + 2 TRX,0,0,UNWIND(TEF only),T,8,G6E......S.6.....................................,49,............36E........G.........................,49,.................................................,49,56E7d.*,7,G6E......S.6.................................................36E........G..........................................................................56E7d.*,154,G6E......S.6.................................................36E........G..........................................................................56E7d.*T$,303,13,291,350,30,320,476,85,391,673,160,513,20,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9a,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........7L6E......36..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........7L6E......36..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........7L6E......36..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,29,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9b,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........7L6E......24..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........7L6E......24..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........7L6E......24..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,30,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9c,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........7L6E......12..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........7L6E......12..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........7L6E......12..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,31,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9d,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........BL6E......36..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........BL6E......36..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........BL6E......36..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,32,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9e,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........BL6E......24..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........BL6E......24..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........BL6E......24..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,33,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 9f,1cc + 2 LTE branch MM,0,0,Other,M,0,.................................................,49,G6E.........36E........BL6E......12..............,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E........BL6E......12..............G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E........BL6E......12..............G6E.........36E.........L6E........t.............*M$,121,5,116,138,14,124,208,48,160,240,60,180,34,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 49,NR34,0,0,Other,T,0,.................................................,49,.................................................,49,.................................................,49,56E.*34d.*,10,...................................................................................................................................................56E.*34d.*,157,...................................................................................................................................................56E.*34d.*T$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 50,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34f.*,10,...................................................................................................................................................56E.*34f.*,157,...................................................................................................................................................56E.*34f.*M$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 51,NR34,0,0,Other,T,0,.................................................,49,.................................................,49,.................................................,49,56E.*34f.*,10,...................................................................................................................................................56E.*34f.*,157,...................................................................................................................................................56E.*34f.*T$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 52,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34g.*,10,...................................................................................................................................................56E.*34g.*,157,...................................................................................................................................................56E.*34g.*M$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 53,NR34,0,0,Other,T,0,.................................................,49,.................................................,49,.................................................,49,56E.*34g.*,10,...................................................................................................................................................56E.*34g.*,157,...................................................................................................................................................56E.*34g.*T$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 54,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34h.*,10,...................................................................................................................................................56E.*34h.*,157,...................................................................................................................................................56E.*34h.*M$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 55,NR34,0,0,Other,T,0,.................................................,49,.................................................,49,.................................................,49,56E.*34h.*,10,...................................................................................................................................................56E.*34h.*,157,...................................................................................................................................................56E.*34h.*T$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 56,NR34,0,0,Other,M,0,.................................................,49,.................................................,49,.................................................,49,56E.*34k.*,10,...................................................................................................................................................56E.*34k.*,157,...................................................................................................................................................56E.*34k.*M$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8823 B42G,Radio 57,NR34,0,0,Other,T,0,.................................................,49,.................................................,49,.................................................,49,56E.*34k.*,10,...................................................................................................................................................56E.*34k.*,157,...................................................................................................................................................56E.*34k.*T$,158,2,156,251,19,232,426,77,349,492,96,396,8,0,0,0,0,0,0,0,0,0,0,0,0
