SCD page,TelefonicaConfiguration,SCD,Capacity Model,12W/20W,Sectors,Indoor/Outdoor,2G/3G/4G Cabinet Type,Double cabinet,Lancaster/York cabinet upgrade,BB units in York/Lancaster cab,G9 end type,L800 end type,L1800 end type,2100 existing,LTE DUS to BB UG,Concatenation,Telefonica Configuration,Comments
27,B1 to B3 Upgrade - Outdoor 20W Network Rail (No-L18) - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Network Rail (No-L18) - 3 Sector,
28,B1 to B3 Upgrade - Indoor 20W Network Rail - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W Network Rail - 2 Sector,
28,B1 to B3 Upgrade - Outdoor 20W Network Rail - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Network Rail - 2 Sector,
29,B1 to B3 Upgrade - Indoor 20W Network Rail (No-L18) - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 20W Network Rail (No-L18) - 2 Sector,
29,B1 to B3 Upgrade - Outdoor 20W Network Rail (No-L18) - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Network Rail,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Network Rail 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Network Rail (No-L18) - 2 Sector,
30,B1 to B3 Upgrade - Indoor 20W L18 Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W L18 Small - 3 Sector,
30,B1 to B3 Upgrade - Outdoor 20W L18 Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W L18 Small - 3 Sector,
31,B1 to B3 Upgrade - Indoor 20W L18 Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W L18 Small - 2 Sector,
31,B1 to B3 Upgrade - Outdoor 20W L18 Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W L18 Small - 2 Sector,
32,B1 to B3 Upgrade - Indoor 20W Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 20W Small - 3 Sector,
