SCD,TelefonicaConfiguration,"Controlling node
(SHU B1)",SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,Conrtolling node,SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode 
B2 50,B2 Upgrade of Small SF 20W – 3 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 51,B2 Upgrade of Small SF 20W – 2 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),20W-Small-Outdoor-Non-RRU-3 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 52,RBS 6102 3-Sector 20W Small Non-RRU (SF) - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
Removed(Orange),20W-Small-Outdoor-Non-RRU-2 Sector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 53,RBS 6102 2-Sector 20W Small Non-RRU (SF) - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 54,RBS 6102 3-Sector L1800 20W Small Non-RRU (SF),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 54,RBS 6102 3-Sector L1800 20W Small Non-RRU (SF) - Enclosure 6147,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 56,B2 Upgrade of Small SF 1800 20W – 2 sectors 2217 B1 in Lancaster,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),RBS 6102 2-Sector L1800 20W Small Non-RRU (SF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
